split,file,classes,reasons,recommendation,width,height,brightness_mean,contrast_std,blur_laplacian_var
train,data_output\yolo_roboflow_only\images\train\11249_jpg.rf.19cff1aa4e7eccfe05a702bf92e76839.jpg,Burger,possibly_blurry,review_delete_or_replace,360,480,143.89,28.94,10.39
train,data_output\yolo_roboflow_only\images\train\12667_jpg.rf.bec0973c8caa0aca961e642d1b40b9f3.jpg,Pizza,low_resolution,review_delete_or_replace,300,200,167.84,61.02,990.18
train,data_output\yolo_roboflow_only\images\train\12696_jpg.rf.3d9aab239b5ab240bfbca44db61cfc1b.jpg,Pizza,low_resolution,review_delete_or_replace,250,187,158.50,48.02,933.05
train,data_output\yolo_roboflow_only\images\train\12699_jpg.rf.561817171bdc64ae5dd19527924161da.jpg,Pizza,low_resolution,review_delete_or_replace,240,180,185.19,47.81,1094.12
train,data_output\yolo_roboflow_only\images\train\13785_jpg.rf.786f20ec7ff19911d783cd4898f7733c.jpg,Burger|Kentang Goreng,possibly_blurry,review_delete_or_replace,800,450,112.80,57.29,15.89
train,data_output\yolo_roboflow_only\images\train\14129_telur-ceplok_jpg.rf.e7bfa680c6bd0bebdb1b298354e78c10.jpg,Telur Goreng,possibly_blurry,review_delete_or_replace,780,800,97.18,100.85,17.99
train,data_output\yolo_roboflow_only\images\train\14753_jpg.rf.cb8a69864277c2ad1b440223e2a180de.jpg,Burger,possibly_blurry,review_delete_or_replace,800,600,129.51,48.29,21.41
train,data_output\yolo_roboflow_only\images\train\14841_jpg.rf.47132617e2fe39897ed460fd5254a791.jpg,Pizza,possibly_blurry,review_delete_or_replace,640,480,136.47,36.83,8.55
train,data_output\yolo_roboflow_only\images\train\14977_jpg.rf.9a3da994ae00a4aff63a2a4ebc4ffbbd.jpg,Burger,possibly_blurry,review_delete_or_replace,640,480,99.69,52.97,23.79
train,data_output\yolo_roboflow_only\images\train\14978_jpg.rf.731308d255405336c48014cfd8a39a97.jpg,Burger,possibly_blurry,review_delete_or_replace,640,480,131.12,46.77,12.19
train,data_output\yolo_roboflow_only\images\train\14982_jpg.rf.b6ee2567c6d02e38a34c673287224c04.jpg,Burger,possibly_blurry,review_delete_or_replace,640,480,154.96,34.91,4.22
train,data_output\yolo_roboflow_only\images\train\15306_jpg.rf.6d8e769e68aca1ca02408a4139d9491a.jpg,Burger,possibly_blurry,review_delete_or_replace,600,450,114.68,33.48,10.18
train,data_output\yolo_roboflow_only\images\train\15347_jpg.rf.cc0a468ac366a607b312778e0b69e7b4.jpg,Pizza,possibly_blurry,review_delete_or_replace,600,360,128.64,50.74,37.67
train,data_output\yolo_roboflow_only\images\train\15406_jpg.rf.653a8a010ab2969afe2a43d258cd4128.jpg,Burger,possibly_blurry,review_delete_or_replace,640,383,129.66,30.89,50.61
train,data_output\yolo_roboflow_only\images\train\15582_jpg.rf.3059eaaa7fb5bcf8572948e81f651e3d.jpg,Burger,possibly_blurry,review_delete_or_replace,640,383,120.85,26.50,22.77
train,data_output\yolo_roboflow_only\images\train\15761_jpg.rf.11f3a6aaab75a749f2ed4778d12e177c.jpg,Pizza,possibly_blurry,review_delete_or_replace,600,450,135.01,42.57,33.49
train,data_output\yolo_roboflow_only\images\train\15827_jpg.rf.9fa104511b40464d3722eb7425481a51.jpg,Burger,possibly_blurry,review_delete_or_replace,600,450,131.84,46.73,13.36
train,data_output\yolo_roboflow_only\images\train\1595_jpg.rf.525bff0c8d655427b5d8f33c078deeb0.jpg,Burger,low_resolution,review_delete_or_replace,309,205,175.12,56.76,431.06
train,data_output\yolo_roboflow_only\images\train\15991_jpg.rf.79e2da1ae5c758c47547898dbc61cd86.jpg,Burger,possibly_blurry,review_delete_or_replace,600,450,126.46,57.87,57.12
train,data_output\yolo_roboflow_only\images\train\1611_jpg.rf.ff28a9827e3fcd508888c85d0ef2cde8.jpg,Burger,low_resolution,review_delete_or_replace,180,135,133.67,55.45,577.81
train,data_output\yolo_roboflow_only\images\train\1615_jpg.rf.eca1814a221e34b4024100a1179110a4.jpg,Burger,low_resolution,review_delete_or_replace,320,213,120.34,62.96,360.97
train,data_output\yolo_roboflow_only\images\train\1620_jpg.rf.b36e90faf4fac26c98eac0a453cad974.jpg,Burger,low_resolution,review_delete_or_replace,319,213,122.30,57.12,361.90
train,data_output\yolo_roboflow_only\images\train\1623_jpg.rf.9c130e8ed88f7a2d09e170026c753931.jpg,Burger,low_resolution,review_delete_or_replace,320,213,123.41,71.46,650.63
train,data_output\yolo_roboflow_only\images\train\1624_jpg.rf.be84334c4e652d0682ddf3a83dfe90c3.jpg,Burger,low_resolution,review_delete_or_replace,320,213,139.22,75.12,681.83
train,data_output\yolo_roboflow_only\images\train\1625_jpg.rf.d2d718019d94ee169c4a8aefe0a475ee.jpg,Burger,low_resolution,review_delete_or_replace,320,213,145.86,60.53,858.72
train,data_output\yolo_roboflow_only\images\train\1636_jpg.rf.ea40ebd97c37f2414da43f63a3fd89d4.jpg,Burger,low_resolution,review_delete_or_replace,210,158,149.27,41.78,889.46
train,data_output\yolo_roboflow_only\images\train\1639_jpg.rf.fcbbd140728691bd30829baff122eedb.jpg,Burger,low_resolution,review_delete_or_replace,319,213,132.09,60.70,644.39
train,data_output\yolo_roboflow_only\images\train\16468_jpg.rf.491657821c1561d5a971a1e268ee8a3f.jpg,Burger,possibly_blurry,review_delete_or_replace,640,480,163.18,29.68,12.85
train,data_output\yolo_roboflow_only\images\train\1646_jpg.rf.f35ab0f7de3a29f40ca74525b8a28f8e.jpg,Burger,low_resolution,review_delete_or_replace,180,240,126.70,43.34,470.17
train,data_output\yolo_roboflow_only\images\train\1653_jpg.rf.971a0a410f3f910ce3eb653f6cff880e.jpg,Burger,low_resolution,review_delete_or_replace,241,200,125.99,63.17,1366.10
train,data_output\yolo_roboflow_only\images\train\1667_jpg.rf.38f5f2df2038175eda649f20b624b407.jpg,Burger,low_resolution,review_delete_or_replace,320,213,159.36,39.35,128.96
train,data_output\yolo_roboflow_only\images\train\1672_jpg.rf.ab0c1eedb654db52ba3ce887b8a93266.jpg,Burger,low_resolution,review_delete_or_replace,320,213,137.73,72.06,223.36
train,data_output\yolo_roboflow_only\images\train\1673_jpg.rf.5a41c0ae91109038c8367897298d6d25.jpg,Burger,low_resolution,review_delete_or_replace,319,213,167.62,63.74,467.50
train,data_output\yolo_roboflow_only\images\train\1674_jpg.rf.2f28b0c4d917f2c3901d10c1bcb4e6f2.jpg,Burger,low_resolution,review_delete_or_replace,319,213,151.06,63.62,493.62
train,data_output\yolo_roboflow_only\images\train\1675_jpg.rf.995711d0bcb9a9b21f9043ea6a238bb6.jpg,Burger,low_resolution,review_delete_or_replace,320,213,152.12,61.98,777.01
train,data_output\yolo_roboflow_only\images\train\1676_jpg.rf.4a86d3839d99fdf580f039156ff25fad.jpg,Burger,low_resolution,review_delete_or_replace,320,213,153.80,63.44,483.61
train,data_output\yolo_roboflow_only\images\train\1682_jpg.rf.eff948b7663eae7121fde0deca3ea2ec.jpg,Burger,low_resolution,review_delete_or_replace,320,213,122.31,69.13,513.50
train,data_output\yolo_roboflow_only\images\train\1683_jpg.rf.31595b03143284f83d9aa2663cbcd811.jpg,Burger,low_resolution,review_delete_or_replace,230,176,148.18,60.85,459.64
train,data_output\yolo_roboflow_only\images\train\1704_jpg.rf.8a76857ab6eec4eb3cc18c405500701e.jpg,Pizza,low_resolution,review_delete_or_replace,260,180,179.57,62.06,1449.84
train,data_output\yolo_roboflow_only\images\train\1766_jpg.rf.667f3d88bee04632895901d754a03dcc.jpg,Pizza,low_resolution,review_delete_or_replace,240,180,128.17,45.52,1585.31
train,data_output\yolo_roboflow_only\images\train\17_JPG_jpg.rf.9a227ee4ac55218b4f527c792c63ae4b.jpg,Pisang,possibly_blurry,review_delete_or_replace,416,416,160.76,30.92,35.56
train,data_output\yolo_roboflow_only\images\train\19_jpg.rf.50be30d7ad137b731dfae7648a794041.jpg,Nasi Putih,possibly_blurry,review_delete_or_replace,800,600,114.79,54.17,44.18
train,data_output\yolo_roboflow_only\images\train\19_JPG_jpg.rf.097e562956ce6ca2e75cc4523d9fe4d0.jpg,Pisang,possibly_blurry,review_delete_or_replace,416,416,155.53,31.54,54.73
train,data_output\yolo_roboflow_only\images\train\20201016120947-2237-cara-mudah-memasak-nasi-goreng-mawut_jpg.rf.968ec64f830b7f0ea1ac9e44e19f979c.jpg,Nasi Goreng,possibly_blurry,review_delete_or_replace,751,532,130.30,49.97,52.09
train,data_output\yolo_roboflow_only\images\train\23_JPG_jpg.rf.7ba9e1a9365f589593d86025d66aec7e.jpg,Pisang,possibly_blurry,review_delete_or_replace,416,416,161.02,36.05,47.56
train,data_output\yolo_roboflow_only\images\train\256_jpg.rf.cc78281130a6aa29ff79d7a5348b5df7.jpg,Pisang,low_resolution,review_delete_or_replace,256,180,41.86,67.67,4297.28
train,data_output\yolo_roboflow_only\images\train\257_jpg.rf.53fd22adb597366a12d45017415a2b63.jpg,Pisang,low_resolution,review_delete_or_replace,228,180,216.10,44.72,2416.58
train,data_output\yolo_roboflow_only\images\train\260_jpg.rf.ee469037e8c67b363d05781e68d497b5.jpg,Pisang,low_resolution|too_bright,review_delete_or_replace,325,187,227.43,53.57,3845.07
train,data_output\yolo_roboflow_only\images\train\263_jpg.rf.7e56d5ad0acff37fef6e2d15cac1452a.jpg,Pisang,low_resolution,review_delete_or_replace,229,187,208.34,72.52,1742.72
train,data_output\yolo_roboflow_only\images\train\26_jpg.rf.7f355b65874c887df410774333167467.jpg,Nasi Putih,possibly_blurry,review_delete_or_replace,800,600,115.34,54.98,44.36
train,data_output\yolo_roboflow_only\images\train\26_jpg.rf.e32d862f33d8d794339b95b4d201a417.jpg,Pisang,low_resolution,review_delete_or_replace,284,190,97.65,57.83,18374.08
train,data_output\yolo_roboflow_only\images\train\271_jpg.rf.5baed5154b87ccdf345ba81044110665.jpg,Pisang,low_resolution|too_bright,review_delete_or_replace,234,180,239.40,35.15,1900.67
train,data_output\yolo_roboflow_only\images\train\29_jpg.rf.5c14cfaeecdd26a0a78ae1022a639d41.jpg,Nasi Putih,possibly_blurry|low_contrast,review_delete_or_replace,480,360,129.36,21.02,25.93
train,data_output\yolo_roboflow_only\images\train\2_jpg.rf.439b3cf4398bc0197bf50e38907b79f6.jpg,Nasi Putih,possibly_blurry,review_delete_or_replace,800,600,106.12,57.68,37.38
train,data_output\yolo_roboflow_only\images\train\30_jpg.rf.aa23fb827ccd4e9619c2ea4c188924a2.jpg,Nasi Putih,possibly_blurry,review_delete_or_replace,360,480,87.23,57.36,37.44
train,data_output\yolo_roboflow_only\images\train\327_jpg.rf.3d8f67512eeb7104cfbf7a78ee4e1443.jpg,Pisang,low_resolution,review_delete_or_replace,120,120,56.82,71.36,6189.64
train,data_output\yolo_roboflow_only\images\train\376_jpg.rf.f2a0fb6bbea29ff0540883367028f33d.jpg,Pisang,low_resolution,review_delete_or_replace,281,180,79.47,50.51,6846.13
train,data_output\yolo_roboflow_only\images\train\37_JPG_jpg.rf.5389e3c7f4d71ad4df161bcd97425c30.jpg,Pisang,possibly_blurry,review_delete_or_replace,416,416,160.72,29.80,42.07
train,data_output\yolo_roboflow_only\images\train\380_jpg.rf.ee70d0939a332841fb587731a3da58dc.jpg,Pisang,low_resolution,review_delete_or_replace,120,120,160.57,85.58,1544.57
train,data_output\yolo_roboflow_only\images\train\383_jpg.rf.a77b6b3c76add8b6f62aaa0711c931ce.jpg,Pisang,low_resolution|too_bright,review_delete_or_replace,169,181,220.97,40.75,678.44
train,data_output\yolo_roboflow_only\images\train\384_jpg.rf.a821a3c950b2dede00469df452e6f14b.jpg,Pisang,low_resolution,review_delete_or_replace,199,173,194.68,62.21,827.28
train,data_output\yolo_roboflow_only\images\train\398369508_PEQ3NYgZmHdtv0P_LCIw5bvQDb_Tjfjj4ecD6cJ0k6Q_jpg.rf.850608595f8dd7f57bed7d570fb03755.jpg,Nasi Goreng,low_resolution,review_delete_or_replace,558,200,97.81,36.91,787.31
train,data_output\yolo_roboflow_only\images\train\403_jpg.rf.dd078d233091d0895f801552298bf146.jpg,Pisang,low_resolution,review_delete_or_replace,115,180,206.24,45.40,1059.08
train,data_output\yolo_roboflow_only\images\train\42_jpg.rf.9c235881beeca7ea3fe9bd18dc0d2a6d.jpg,Nasi Putih,possibly_blurry,review_delete_or_replace,800,600,112.17,56.06,13.74
train,data_output\yolo_roboflow_only\images\train\448_jpg.rf.7d5d2f9ecca1ed54cdda8b3c1c410511.jpg,Pisang,too_bright,review_delete_or_replace,408,612,235.13,30.71,145.82
train,data_output\yolo_roboflow_only\images\train\451_jpg.rf.d87873a90cdcee33d49ebfd16e3180a4.jpg,Pisang,possibly_blurry,review_delete_or_replace,612,408,146.74,30.95,22.16
train,data_output\yolo_roboflow_only\images\train\47_jpg.rf.a3ae28af6110e98954175264acce994c.jpg,Nasi Putih,possibly_blurry|low_contrast,review_delete_or_replace,480,360,140.36,20.43,42.81
train,data_output\yolo_roboflow_only\images\train\49_jpg.rf.b4b062e607920cbfb772c75e31df3e22.jpg,Nasi Putih,possibly_blurry,review_delete_or_replace,800,600,101.98,60.96,27.79
train,data_output\yolo_roboflow_only\images\train\539_jpg.rf.a8edc39bcf15146e083156414baee437.jpg,Nanas,possibly_blurry,review_delete_or_replace,5877,3918,74.38,39.99,28.85
train,data_output\yolo_roboflow_only\images\train\54_jpg.rf.d5f8836c4091516775e365bc3da5226b.jpg,Nasi Putih,possibly_blurry,review_delete_or_replace,480,270,130.65,38.12,43.35
train,data_output\yolo_roboflow_only\images\train\55_jpg.rf.0c1398a1487d09b86a0cbfb40cd42048.jpg,Nasi Putih,possibly_blurry|low_contrast,review_delete_or_replace,480,360,140.36,20.43,42.80
train,data_output\yolo_roboflow_only\images\train\630_jpg.rf.d87cb3fde239e87b9fe78f06ebeacfd6.jpg,Pisang,low_resolution,review_delete_or_replace,275,183,209.90,23.78,979.77
train,data_output\yolo_roboflow_only\images\train\634_jpg.rf.996c084d8bc5f2baa350e9ff42edb1c6.jpg,Pisang,low_resolution,review_delete_or_replace,275,183,149.02,43.21,4088.99
train,data_output\yolo_roboflow_only\images\train\635_jpg.rf.e07ff123cd7b9178a82777466813709d.jpg,Pisang,low_resolution,review_delete_or_replace,275,183,212.86,32.80,341.52
train,data_output\yolo_roboflow_only\images\train\637_jpg.rf.e84edc50b6082fd3c3c4e08dff9e3de9.jpg,Pisang,low_resolution,review_delete_or_replace,262,192,200.07,66.80,3295.20
train,data_output\yolo_roboflow_only\images\train\644_jpeg.rf.7f922950bab4cfb5d9e57e400ac965c2.jpg,Nanas,too_bright,review_delete_or_replace,1100,618,223.39,44.56,1488.91
train,data_output\yolo_roboflow_only\images\train\667_jpg.rf.b4eeede6cfb9277a493ff9dc38d7eec1.jpg,Pisang,low_resolution,review_delete_or_replace,311,162,199.16,22.58,363.32
train,data_output\yolo_roboflow_only\images\train\669_jpg.rf.85dcc6077bce741001be615bb0548e8f.jpg,Pisang,low_resolution,review_delete_or_replace,236,214,164.29,37.18,382.83
train,data_output\yolo_roboflow_only\images\train\66_jpg.rf.77414e6386f2cdf39b2fd49701a82452.jpg,Nasi Putih,possibly_blurry,review_delete_or_replace,480,360,119.77,30.83,30.57
train,data_output\yolo_roboflow_only\images\train\671_jpg.rf.6a047567591305dbd8ec0494053cf571.jpg,Pisang,low_resolution|too_bright,review_delete_or_replace,251,201,220.62,41.03,365.76
train,data_output\yolo_roboflow_only\images\train\678_jpg.rf.df225791e5400d99a688373a7d2920ca.jpg,Pisang,low_resolution|too_bright,review_delete_or_replace,234,215,231.58,34.77,176.59
train,data_output\yolo_roboflow_only\images\train\67_jpg.rf.ac3141acccb159d42c7b2971e07b4dcc.jpg,Nasi Putih,possibly_blurry,review_delete_or_replace,480,360,116.47,32.87,12.17
train,data_output\yolo_roboflow_only\images\train\68_jpg.rf.1ac181df4ac0257fdcd7c36c50c194b0.jpg,Nasi Putih,possibly_blurry,review_delete_or_replace,800,600,106.95,54.02,24.44
train,data_output\yolo_roboflow_only\images\train\697_jpg.rf.5f55ec96a63290749ba1a1e5ce15142a.jpg,Pisang,low_resolution,review_delete_or_replace,300,168,218.78,41.62,457.00
train,data_output\yolo_roboflow_only\images\train\69_jpg.rf.9ea0680f253e2badee5cd16ceebe819d.jpg,Nasi Putih,possibly_blurry,review_delete_or_replace,800,600,103.33,53.51,29.51
train,data_output\yolo_roboflow_only\images\train\6_jpg.rf.08fa7aa2d179d06e04f31823c3da3432.jpg,Nasi Putih,possibly_blurry,review_delete_or_replace,700,467,96.35,59.27,46.91
train,data_output\yolo_roboflow_only\images\train\701_jpg.rf.fb2da36fafaaea16c0a5d99f9ed70b06.jpg,Pisang,low_resolution|too_bright,review_delete_or_replace,247,204,224.92,40.54,275.26
train,data_output\yolo_roboflow_only\images\train\715_jpg.rf.55e4f4619973955afa0401ced2b9a8ab.jpg,Pisang,too_bright,review_delete_or_replace,390,260,230.35,36.69,164.89
train,data_output\yolo_roboflow_only\images\train\716_jpg.rf.ad19c92cb42d991ad94cbfd79448d138.jpg,Pisang,too_bright,review_delete_or_replace,308,260,239.43,24.85,137.15
train,data_output\yolo_roboflow_only\images\train\717_jpg.rf.a86f83cd0ed222462c876a001e8901ed.jpg,Pisang,too_bright,review_delete_or_replace,353,260,227.91,35.69,111.06
train,data_output\yolo_roboflow_only\images\train\726_jpg.rf.b08846c9027ef456a5799b27fa04d2ae.jpg,Pisang,possibly_blurry|too_bright,review_delete_or_replace,389,260,241.09,26.72,48.09
train,data_output\yolo_roboflow_only\images\train\727_jpg.rf.b11370d0f54d45b29ade6fa893e02678.jpg,Pisang,too_bright,review_delete_or_replace,347,260,233.68,38.00,268.70
train,data_output\yolo_roboflow_only\images\train\732_jpg.rf.401035f0d5f3c136adbbdaa1a48e89d4.jpg,Pisang,too_bright,review_delete_or_replace,338,260,235.49,33.14,141.45
train,data_output\yolo_roboflow_only\images\train\736_jpg.rf.094d986b99500d11ae66e43cd4b54c99.jpg,Pisang,too_bright,review_delete_or_replace,512,260,238.00,32.05,74.44
train,data_output\yolo_roboflow_only\images\train\748_jpg.rf.6bb8b95e6b253d53e272b3892e2dd834.jpg,Nanas,too_bright,review_delete_or_replace,1400,1400,227.77,50.85,1649.97
train,data_output\yolo_roboflow_only\images\train\750_jpg.rf.f63d9dc0da98e3d7f63e25fd0f953038.jpg,Pisang,possibly_blurry|low_contrast|too_bright,review_delete_or_replace,260,260,246.22,19.55,37.31
train,data_output\yolo_roboflow_only\images\train\757_jpg.rf.b078b557051b48d366aee9134101237a.jpg,Pisang,too_bright,review_delete_or_replace,511,260,239.48,33.15,89.09
train,data_output\yolo_roboflow_only\images\train\75_jpg.rf.967994799ae4e9efc30b993fa3c5b815.jpg,Pisang,possibly_blurry|low_contrast,review_delete_or_replace,416,416,133.00,19.64,7.29
train,data_output\yolo_roboflow_only\images\train\761_jpg.rf.7d2667023be75c4e324803e7aa844420.jpg,Pisang,too_bright,review_delete_or_replace,405,260,229.13,50.95,264.00
train,data_output\yolo_roboflow_only\images\train\77_jpg.rf.91c79638e140dcd3cc6a6d70fc74a217.jpg,Nasi Putih,possibly_blurry,review_delete_or_replace,360,480,109.50,61.73,25.29
train,data_output\yolo_roboflow_only\images\train\780_jpeg.rf.05f5d096b1c6f42dbc5b1e0a22fa931b.jpg,Nanas,possibly_blurry,review_delete_or_replace,6000,4000,52.76,25.01,49.71
train,data_output\yolo_roboflow_only\images\train\781_jpg.rf.88e25f3fa6c4272cfd47d809c7509e03.jpg,Nanas,possibly_blurry,review_delete_or_replace,6000,4000,213.73,50.65,44.63
train,data_output\yolo_roboflow_only\images\train\79_jpg.rf.7b676cfa38bb1016ed892229231d5851.jpg,Nasi Putih,possibly_blurry,review_delete_or_replace,800,600,99.81,56.12,27.82
train,data_output\yolo_roboflow_only\images\train\7_jpg.rf.96596c11a013ad5d8663fa8c2d2d4175.jpg,Nasi Putih,possibly_blurry,review_delete_or_replace,360,480,123.31,32.25,54.01
train,data_output\yolo_roboflow_only\images\train\80_jpg.rf.2e0ff056ecf97239065b82a65b2ea0be.jpg,Pisang,possibly_blurry,review_delete_or_replace,416,416,117.99,22.09,26.51
train,data_output\yolo_roboflow_only\images\train\81_jpg.rf.64187df0c2844c6251f9d41babc1bde8.jpg,Nasi Putih,possibly_blurry|low_contrast,review_delete_or_replace,480,360,129.36,21.02,25.93
train,data_output\yolo_roboflow_only\images\train\89_jpg.rf.1f42e5d05840a52f4c7c4c69560a2803.jpg,Pisang,possibly_blurry|low_contrast,review_delete_or_replace,416,416,118.95,17.54,18.50
train,data_output\yolo_roboflow_only\images\train\9068_jpg.rf.e56f52ac58ae18d34b4ba72dec4c43b3.jpg,Burger,possibly_blurry,review_delete_or_replace,360,480,142.28,26.50,35.35
train,data_output\yolo_roboflow_only\images\train\9092_jpg.rf.c95f03843f6f674ed4e615cafde5c290.jpg,Pizza,possibly_blurry,review_delete_or_replace,480,360,67.26,22.86,24.52
train,data_output\yolo_roboflow_only\images\train\9129_jpg.rf.81d5d083e6ce9e3f4e7f03a08a1b9224.jpg,Burger,possibly_blurry,review_delete_or_replace,360,480,144.62,42.83,37.93
train,data_output\yolo_roboflow_only\images\train\9139_jpg.rf.d2f11488b027d46a15f3e0a660f31de5.jpg,Burger,possibly_blurry,review_delete_or_replace,360,480,130.67,53.86,56.98
train,data_output\yolo_roboflow_only\images\train\9160_jpg.rf.41677656404505f9783a7fdc02cdbcba.jpg,Burger,possibly_blurry,review_delete_or_replace,360,480,144.76,59.93,47.44
train,data_output\yolo_roboflow_only\images\train\9172_jpg.rf.44e609a3494d23f7fb5a285b1a7eecb8.jpg,Burger,possibly_blurry,review_delete_or_replace,360,480,127.26,50.77,16.79
train,data_output\yolo_roboflow_only\images\train\923_jpg.rf.f924d434620df4c7140f9c15d38045af.jpg,Pisang,possibly_blurry,review_delete_or_replace,1000,689,184.71,42.39,25.18
train,data_output\yolo_roboflow_only\images\train\92_jpg.rf.db1b673ed73daa468802a7d310727040.jpg,Pisang,possibly_blurry,review_delete_or_replace,416,416,120.69,23.30,22.17
train,data_output\yolo_roboflow_only\images\train\95_jpg.rf.e0e3657cfdf5c948ff1dcba2feac8a82.jpg,Nasi Putih,possibly_blurry,review_delete_or_replace,480,640,123.80,32.26,33.23
train,data_output\yolo_roboflow_only\images\train\96_jpg.rf.50ee4adf5979d32217391799622f365d.jpg,Nasi Putih,possibly_blurry,review_delete_or_replace,640,480,133.93,43.12,40.85
train,data_output\yolo_roboflow_only\images\train\99_jpg.rf.89b338ab817bc5efe08ea6ac68933b80.jpg,Nasi Putih,possibly_blurry,review_delete_or_replace,480,360,113.38,45.85,32.33
train,data_output\yolo_roboflow_only\images\train\Awal-Mula-Terciptanya-Nasi-Goreng-1024x709_png_jpg.rf.be7274002c13632baba395225451045a.jpg,Nasi Goreng,possibly_blurry,review_delete_or_replace,1024,709,134.14,34.56,35.50
train,data_output\yolo_roboflow_only\images\train\bakso-1-_jpg.rf.02e614242b7dc3e8fcf9fa92c5feb148.jpg,Bakso,low_resolution,review_delete_or_replace,318,159,126.17,56.88,2762.31
train,data_output\yolo_roboflow_only\images\train\bakso-116-_jpg.rf.97a2177d088544d758a6a2026fa3482a.jpg,Bakso,low_resolution,review_delete_or_replace,259,194,149.21,52.88,3376.94
train,data_output\yolo_roboflow_only\images\train\bakso-121-_jpg.rf.97177a6a36dba2e1f705338db124bc54.jpg,Bakso,low_resolution,review_delete_or_replace,340,148,210.89,43.14,1339.36
